prompt,Data_address,Label,Related,Problem Type
"The data of the store offers several styles of Nike shoes is provided in ""Nike Shoes Sales.csv"". Through the dataset, the revenue of each shoes is listed in the column ""revenue"". The demand for each style is independent. The store__ objective is to maximize the total expected revenue based on the fixed initial inventories of the Nike x Olivia Kim brand, which are detailed in column __nventory._ During the sales horizon, no replenishment is allowed, and there are no in-transit inventories. Customer arrivals, corresponding to demand for different styles of Nike shoes, occur in each period according to a Poisson process, with arrival rates specified in column __emand._ Moreover, the trade will be started only when the total demand is no less than 100 to ensure the trading efficiency. The decision variables y_i represent the number of customer requests the store intends to fulfill for Nike shoe style i, with each y_i being a positive integer.
","NRM_example/nike Shoes Sales.csv
","Maximize
   11197 x_1 + 9097 x_2 + 11197 x_3 + 9995 x_4
Subject To
   inventory_constraint: 
   x_1 <= 97
   x_2 <= 240
   x_3 <= 322
   x_4 <= 281
   demand_constraint: 
   x_1 <= 17
   x_2 <= 26
   x_3 <= 50
   x_4 <= 53
   startup_constraint:
   x_1+x_2+x_3+x_4 >=100
Where
x_i represents the number of customer requests the store intends to fulfill for Nike x Olivia Kim shoe style i, with each x_i being a positive integer.

","Nike x OliviaKim
",Network Revenue Management Problem
"A supermarket needs to allocate various products, including high-demand items like the Sony Alpha Refrigerator, Sony Bravia XR, and Sony PlayStation 5, across different retail shelves. The product values and space requirements are provided in the ""Products.csv"" dataset. Additionally, the store has multiple shelves, each with a total space limit and specific space constraints for Sony and Apple products, as outlined in the ""Capacity.csv"" file. The goal is to determine the optimal number of units of each Sony product to place on each shelf to maximize total value while ensuring that the space used by Sony products on each shelf does not exceed the brand-specific limits. The decision variables x_ij represent the number of units of product i to be placed on shelf j.
","RA_example/capacity.csv
RA_example/products.csv
","Maximize
   1818 x_0_0 + 1818 x_0_1 + 1818 x_0_2 + 1818 x_0_3 + 1818 x_0_4 + 1818 x_0_5 + 1609 x_1_0 + 1609 x_1_1 + 1609 x_1_2 + 1609 x_1_3 + 1609 x_1_4 + 1609 x_1_5 + 509 x_2_0 + 509 x_2_1 + 509 x_2_2 + 509 x_2_3 + 509 x_2_4 + 509 x_2_5 + 1808 x_3_0 + 1808 x_3_1 + 1808 x_3_2 + 1808 x_3_3 + 1808 x_3_4 + 1808 x_3_5 + 528 x_4_0 + 528 x_4_1 + 528 x_4_2 + 528 x_4_3 + 528 x_4_4 + 528 x_4_5 
   
Subject To
 capacity_constraint: 
 400 x_0_0 + 200 x_1_0 + 40 x_2_0 + 60 x_3_0 + 50 x_4_0 <= 1200
 400 x_0_1 + 200 x_1_1 + 40 x_2_1 + 60 x_3_1 + 50 x_4_1 <= 1374
 400 x_0_2 + 200 x_1_2 + 40 x_2_2 + 60 x_3_2 + 50 x_4_2 <= 800
 400 x_0_3 + 200 x_1_3 + 40 x_2_3 + 60 x_3_3 + 50 x_4_3 <= 2042
 400 x_0_4 + 200 x_1_4 + 40 x_2_4 + 60 x_3_4 + 50 x_4_4 <= 1000
 400 x_0_5 + 200 x_1_5 + 40 x_2_5 + 60 x_3_5 + 50 x_4_5 <= 1800

Generals
 x_0_0  x_0_1  x_0_2  x_0_3  x_0_4  x_0_5
 x_1_0  x_1_1  x_1_2  x_1_3  x_1_4  x_1_5
 x_2_0  x_2_1  x_2_2  x_2_3  x_2_4  x_2_5
 x_3_0  x_3_1  x_3_2  x_3_3  x_3_4  x_3_5
 x_4_0  x_4_1  x_4_2  x_4_3  x_4_4  x_4_5
END

","Sony
",Resource Allocation
"Walmart stores play a critical role in supplying essential goods to various customer groups on a daily basis. The problem involves determining the optimal transportation plan that satisfies the demands of 4 customer groups, whose daily demand data is provided in ""customer_demands.csv"". These demands must be met using supplies from 3 Walmart stores, each with a specific daily supply capacity detailed in ""supply_capacity.csv"". The transportation cost per unit of goods from each Walmart store to each customer group is recorded in ""transportation_costs.csv"". The objective is to determine the quantity of goods transported from each Walmart store to each customer group, ensuring that all demands are met without exceeding the supply capacity of any store, while minimizing the total transportation cost.","TP_example/customer_demand.csv
TP_example/supply_capacity.csv
TP_example/transportation_costs.csv
","Minimize
   0.63 x_0_0 + 49.71 x_0_1 + 33.75 x_0_2 + 1570.67 x_0_3 + 605.47 x_1_0 + 64.53 x_1_1 + 478.47 x_1_2 + 887.04 x_1_3 + 1139.04 x_2_0 + 4.78 x_2_1 + 1805.62 x_2_2 + 1302.89 x_2_3 
Subject To
 demand_constraint:
 x_0_0 + x_1_0 + x_2_0 >= 11
 x_0_1 + x_1_1 + x_2_1 >= 1148
 x_0_2 + x_1_2 + x_2_2 >= 54
 x_0_3 + x_1_3 + x_2_3 >= 833
 capacity_constraint:
 x_0_0 + x_0_1 + x_0_2 + x_0_3 <= 4
 x_1_0 + x_1_1 + x_1_2 + x_1_3 <= 575
 x_2_0 + x_2_1 + x_2_2 + x_2_3 <= 1504
Generals
 x_0_0  x_0_1  x_0_2  x_0_3  x_1_0  x_1_1  x_1_2  x_1_3
 x_2_0  x_2_1  x_2_2  x_2_3  
END",,Transportation Problem
"In the Superstore chain, multiple branches require inventory replenishment, and several suppliers located in different cities can provide the necessary goods. Each supplier incurs a fixed cost upon starting operations, with the fixed cost data provided in the “fixed_costs.csv” file. Each branch needs to source a certain quantity of goods from these suppliers. For each branch, the transportation cost per unit of goods from each supplier is recorded in the “transportation_costs.csv” file. Demand information can be gained in 'demand.csv'. The objective is to determine which suppliers to activate so that the demand of all branches is met while minimizing the total cost.","Large_Scale_Or_Files/UFLP_example/demand.csv
Large_Scale_Or_Files/UFLP_example/fixed_cost.csv
Large_Scale_Or_Files/UFLP_example/transportation_costs.csv","Minimize
\sum_ij A_ij*x_ij + \sum_j c_j*y_j
+ 105.1815083048055 y_0 + 112.1842388512642 y_1 
Subject To
demand_constraint: \sum_i x_i_0 = d[0]
\sum_i x_i_1 = d[1]
M_constraint: - M y_0 + \sum_i x_i_0 <= 0
- M y_1 + \sum_i x_i_1 <= 0
Binaries
y_0 y_1 , where d = [7564, 5246], A=[[ 937.34065048,   86.93019411],
[  49.38016148, 1726.06210136]], c = [105.1815083, 112.18423885], M = \sum_i d_i",,Facility Location Problem
"In the construction sector, there is a group of managers and a set of construction projects. The cost for a manager to oversee a specific project varies depending on their expertise and experience. This cost data is stored in a CSV file named 'manager_project_cost.csv', where each row corresponds to a manager and each column indicates the cost for that manager to handle a particular project. The aim is to determine the optimal assignment strategy that minimizes the overall cost of completing all projects. Each manager should be assigned to the project where their cost is lowest, ensuring that every project is managed by exactly one manager, and each manager is responsible for exactly one project. The goal is to minimize the total cost while adhering to the constraints that each project is assigned to one manager and each manager is assigned to one project",Large_Scale_Or_Files/Other_example/AP1/manager_project_cost.csv,"Minimize
3000 x_11 + 3200 x_12 + 3100 x_13 + 2800 x_21 +  3300 x_22 + 2900 x_23 + 2900 x_31+ 3100x_32+ 3000x_33
Subject To
x_11 + x_12 + x_13 = 1
x_21 + x_22 + x_23 = 1
x_31 + x_32 + x_33 = 1
x_11 + x_21 + x_31 = 1
x_12 + x_22 + x_32 = 1
x_13 + x_23 + x_33 = 1
x_ij binary",,Assignment Problem
"Based on flight ticket options provided in file ""./Test_Dataset/Air_NRM/information.csv"", along with their average passengers (Avg Pax), average prices (Avg Price), and capacity coefficients (Flex Cpy Coef), considering that each Eco_flex ticket consumes 2 units of flight capacity and each Eco_lite ticket consumes 1 unit of capacity, while enforcing flow conservation constraints at each airport for long-term planning model, develop a Sales-Based Linear Programming (SBLP) model. 

The goal of this model is to recommend the optimal 3 flights that maximize total ticket sale revenue, specifically among flights where the origin-destination pairs are: 
OD = ('A', 'B') or OD = ('A', 'C') or OD = ('B', 'A') or OD = ('B', 'C') or ('C', 'A') or ('C', 'B') in a departure period (7am-12:00am) in which the optional flights are:
[(OD = ('C', 'A') AND Departure Time='7:40'),
(OD = ('C', 'B') AND Departure Time='7:40'),
(OD = ('B', 'A') AND Departure Time='9:05'),
(OD = ('B', 'C') AND Departure Time='9:05'),
(OD = ('C', 'B') AND Departure Time='10:45'),
(OD = ('A', 'B') AND Departure Time='11:20'),
(OD = ('B', 'C') AND Departure Time='11:20')]",v1.csv/v2.csv/information_addB_2.csv,,,Sales-Based Linear Programming-Flow
"Based on flight ticket options provided in './Test_Dataset/Air_NRM/information.csv', along with their associated attraction values (v1) and shadow attraction value ratios (v2), develop a Sales-Based Linear Programming (SBLP) model. The goal of this model is to recommend the optimal 3 flights that maximize total ticket sale revenue, specifically among flights with an origin-destination: OD = ('A', 'B') and a departure period (11am-1pm) in which the flights are: [(OD = ('A', 'B') AND Departure Time='11:20'), (OD = ('A', 'B') AND Departure Time='12:40')]",v1.csv/v2.csv/information_addB_2.csv,,,Sales-Based Linear Programming-No Flow
"Based on all flight ticket choices in 'information1_addB_2.csv' with attraction values in v1 and shadow attraction value ratios in v2, develop the SBLP(sales-based linear programming) formulation  with flights (OD = ('B', 'A') AND Departure Time='12:25'), (OD = ('C', 'B') AND Departure Time='14:15'), (OD = ('B', 'A') AND Departure Time='20:25') that maximize the total revenue of flight ticket sales. The SBLP should include decision variables, objective function, balance constraints, scale constraints, nonnegative constraints.",v1.csv/v2.csv/information_addB_2.csv,,,Sales-Based Linear Programming - CA
"We have three engineers named Engineer A, B, and C. They need to be assigned to three different projects, which we simply call Project 1, 2, and 3. Each engineer incurs different costs to complete different projects; these costs reflect their familiarity and efficiency in completing the tasks for the projects. Engineer A incurs a cost of c_11 dollars to complete Project 1, c_12 dollars for Project 2, and c_13 dollars for Project 3. Engineer B incurs a cost of c_21 dollars for Project 1, c_22 dollars for Project 2, and c_23 dollars for Project 3. Engineer C incurs a cost of c_31 dollars for Project 1, c_32 dollars for Project 2, and c_33 dollars for Project 3. Our goal is to find an assignment method that minimizes the total cost of completing all projects. We need to allocate engineers to projects in a way that each engineer is assigned to the project  their cost is the lowest. At the same time, each project can only be assigned to one engineer, and each engineer can only work on one project at a time. Let x_11, x_12, x_13 be 1 if Projects 1, 2, and 3 are assigned to Engineer A, respectively, and 0 otherwise. Let x_21, x_22, x_23 be 1 if Projects 1, 2, and 3 are assigned to Engineer B, respectively, and 0 otherwise. Let x_31, x_32, x_33 be 1 if Projects 1, 2, and 3 are assigned to Engineer C, respectively, and 0 otherwise.Costs: c_11 = 919, c_12 = 556, c_13 = 951; c_21 = 21, c_22 = 640, c_23 = 409; c_31 = 59, c_32 = 786, c_33 = 304.",,"min 919x_11 + 556x_12 + 951x_13 + 21x_21 + 640x_22 + 409x_23 + 59x_31 + 786x_32 + 304x_33
subject to
    x_11 + x_12 + x_13 = 1
    x_21 + x_22 + x_23 = 1
    x_31 + x_32 + x_33 = 1
    x_11 + x_21 + x_31 = 1
    x_12 + x_22 + x_32 = 1
    x_13 + x_23 + x_33 = 1
    x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33 ∈ {{0,1}}",,Others without CSV - assignment problem
"In a hospital, there are three specialist doctors who need to be assigned to three different departments. We call these doctors Doctor A, B, and C, and the departments are referred to as Departments 1, 2, and 3. The efficiency of each doctor working in different departments is quantified by the time needed to complete an equal amount of work, which reflects the applicability of the doctor__ expertise and experience to that particular department. Doctor A needs t_11 hours to work in Department 1, t_12 hours for Department 2, and t_13 hours for Department 3. Doctor B needs t_21 hours for Department 1, t_22 hours for Department 2, and t_23 hours for Department 3. Doctor C has an efficiency of t_31 hours for Department 1, t_32 hours for Department 2, and t_33 hours for Department 3. The hospital__ goal is to find an optimal doctor-to-department matching scheme that minimizes the total time doctors need to complete their tasks. Each department can only be managed by one doctor, and each doctor can only work in one department at a time. Let x_11, x_12, x_13 be 1 if Departments 1, 2, and 3 are assigned to Doctor A, respectively, and 0 otherwise. Let x_21, x_22, x_23 be 1 if Departments 1, 2, and 3 are assigned to Doctor B, respectively, and 0 otherwise. Let x_31, x_32, x_33 be 1 if Departments 1, 2, and 3 are assigned to Doctor C, respectively, and 0 otherwise.Time needed: t_11 = 213, t_12 = 73, t_13 = 241; t_21 = 336, t_22 = 567, t_23 = 485; t_31 = 174, t_32 = 857, t_33 = 434.",,"min 213x_11 + 73x_12 + 241x_13 + 336x_21 + 567x_22 + 485x_23 + 174x_31 + 857x_32 + 434x_33
subject to 
    x_11 + x_12 + x_13 = 1
    x_21 + x_22 + x_23 = 1
    x_31 + x_32 + x_33 = 1
    x_11 + x_21 + x_31 = 1
    x_12 + x_22 + x_32 = 1
    x_13 + x_23 + x_33 = 1
   x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33 ∈ {{{{0,1}}",,Others without CSV - assignment problem
