Query,model_output,code_output,objective_value,obj,Count
"Imagine you are a dietitian and you have been tasked with creating a meal plan for a bodybuilder. You have six food items to choose from: Steak, Tofu, Chicken, Broccoli, Rice, and Spinach. Each food provides certain amounts of protein, carbohydrates, and calories, and each has its own cost.

Here's the nutritional value and cost of each food:

- Steak: It gives you 14 grams of protein, 23 grams of carbohydrates, and 63 calories for $4.
- Tofu: It offers 2 grams of protein, 13 grams of carbohydrates, and 162 calories for $6.
- Chicken: It packs a punch with 17 grams of protein, 13 grams of carbohydrates, and gives you 260 calories for $6.
- Broccoli: It provides 3 grams of protein, a mere 1 gram of carbohydrates, and 55 calories for $8.
- Rice: It gives a hearty 15 grams of protein, 23 grams of carbohydrates, and 231 calories for $8.
- Spinach: It provides 2 grams of protein, 8 grams of carbohydrates, and a huge 297 calories for just $5.

Your goal is to ensure that the bodybuilder gets at least 83 grams of protein, 192 grams of carbohydrates, and 2089 calories from whatever combination of these foods you choose. The challenge is to keep the cost as low as possible while meeting these nutritional targets. 

What is the minimum cost to meet these nutritional requirements with the available food options?","\[
\begin{align*}
\min\ & 4x_1 + 6x_2 + 6x_3 + 8x_4 + 8x_5 + 5x_6 \\
\text{s.t.}\quad
& 14x_1 + 2x_2 + 17x_3 + 3x_4 + 15x_5 + 2x_6 \geq 83 \quad \text{(protein)} \\
& 23x_1 + 13x_2 + 13x_3 + 1x_4 + 23x_5 + 8x_6 \geq 192 \quad \text{(carbohydrates)} \\
& 63x_1 + 162x_2 + 260x_3 + 55x_4 + 231x_5 + 297x_6 \geq 2089 \quad \text{(calories)} \\
& x_1, x_2, x_3, x_4, x_5, x_6 \geq 0 \quad \text{(continuous variables)}
\end{align*}
\]","import gurobipy as gp
from gurobipy import GRB

# Create the model
m = gp.Model(""Diet_Optimization"")

# Decision variables: x1, x2, x3, x4, x5, x6 >= 0 (continuous)
x1 = m.addVar(lb=0, vtype=GRB.CONTINUOUS, name=""x1"")
x2 = m.addVar(lb=0, vtype=GRB.CONTINUOUS, name=""x2"")
x3 = m.addVar(lb=0, vtype=GRB.CONTINUOUS, name=""x3"")
x4 = m.addVar(lb=0, vtype=GRB.CONTINUOUS, name=""x4"")
x5 = m.addVar(lb=0, vtype=GRB.CONTINUOUS, name=""x5"")
x6 = m.addVar(lb=0, vtype=GRB.CONTINUOUS, name=""x6"")

# Objective function: Minimize 4x1 + 6x2 + 6x3 + 8x4 + 8x5 + 5x6
m.setObjective(4*x1 + 6*x2 + 6*x3 + 8*x4 + 8*x5 + 5*x6, GRB.MINIMIZE)

# Constraints
m.addConstr(14*x1 + 2*x2 + 17*x3 + 3*x4 + 15*x5 + 2*x6 >= 83, name=""protein"")
m.addConstr(23*x1 + 13*x2 + 13*x3 + 1*x4 + 23*x5 + 8*x6 >= 192, name=""carbohydrates"")
m.addConstr(63*x1 + 162*x2 + 260*x3 + 55*x4 + 231*x5 + 297*x6 >= 2089, name=""calories"")

# Solve the model
m.optimize()",53.89647542279121,57,0
"Imagine you are in charge of planning a week's worth of meals for a small group and need to ensure everyone gets the right amount of nutrients without overspending. You have four different food items to choose from, each with its own nutritional content and cost.

Here's what each food item offers:
- Food_1: Provides 19 grams of protein, 9 grams of carbohydrates, and 83 calories for $7.
- Food_2: Offers 4 grams of protein, 16 grams of carbohydrates, and 166 calories for $7.
- Food_3: Contains 3 grams of protein, 11 grams of carbohydrates, and 71 calories for $10.
- Food_4: Delivers 8 grams of protein, 7 grams of carbohydrates, and 56 calories for $2.

Your goal is to meet the following nutritional requirements for the group:
- At least 84 grams of protein,
- At least 132 grams of carbohydrates,
- At least 1990 calories.

Your challenge is to determine the most cost-effective way to purchase these food items to meet or exceed the nutritional requirements. What is the minimal cost to meet these dietary needs?","\[
\begin{align*}
\text{Minimize} \quad & 7x_1 + 7x_2 + 10x_3 + 2x_4 \\
\text{subject to} \quad
    & 19x_1 + 4x_2 + 3x_3 + 8x_4 \geq 84 \\
    & 9x_1 + 16x_2 + 11x_3 + 7x_4 \geq 132 \\
    & 83x_1 + 166x_2 + 71x_3 + 56x_4 \geq 1990 \\
    & x_1, x_2, x_3, x_4 \in \mathbb{Z}_+, \quad x_i \geq 0
\end{align*}
\]","import gurobipy as gp
from gurobipy import GRB

# Create the model
m = gp.Model(""Minimize_Example"")

# Decision variables: x1, x2, x3, x4 (non-negative integers)
x1 = m.addVar(vtype=GRB.INTEGER, lb=0, name=""x1"")
x2 = m.addVar(vtype=GRB.INTEGER, lb=0, name=""x2"")
x3 = m.addVar(vtype=GRB.INTEGER, lb=0, name=""x3"")
x4 = m.addVar(vtype=GRB.INTEGER, lb=0, name=""x4"")

# Objective function: Minimize 7x1 + 7x2 + 10x3 + 2x4
m.setObjective(7 * x1 + 7 * x2 + 10 * x3 + 2 * x4, GRB.MINIMIZE)

# Constraints
m.addConstr(19 * x1 + 4 * x2 + 3 * x3 + 8 * x4 >= 84, name=""c1"")
m.addConstr(9 * x1 + 16 * x2 + 11 * x3 + 7 * x4 >= 132, name=""c2"")
m.addConstr(83 * x1 + 166 * x2 + 71 * x3 + 56 * x4 >= 1990, name=""c3"")

# Solve the model
m.optimize()",72,72,1
"Imagine you're meticulously planning your weekly meals to ensure you're hitting all your nutritional goals while sticking to a budget. You're considering five diverse food items, each with unique nutritional benefits and costs. 

Here's a breakdown of what each food offers and its cost:

- Food_1: Delivers 3 grams of protein, 16 grams of carbohydrates, and 96 calories for $9.
- Food_2: Provides 17 grams of protein, 24 grams of carbohydrates, and 182 calories for $9.
- Food_3: Offers 16 grams of protein, 27 grams of carbohydrates, and 114 calories for just $2.
- Food_4: Contains 8 grams of protein, 16 grams of carbohydrates, and 208 calories for $9.
- Food_5: Supplies 6 grams of protein, 6 grams of carbohydrates, and 236 calories for $5.

Your dietary targets for the week are to consume at least 100 grams of protein, 180 grams of carbohydrates, and 1796 calories. Your challenge is to determine the most cost-effective combination of these food items to meet or exceed these nutritional requirements. What is the cheapest cost to achieve your dietary goals?","\[
\begin{align*}
\min\ & 9x_1 + 9x_2 + 2x_3 + 9x_4 + 5x_5 \\
\text{s.t.}\quad
& 3x_1 + 17x_2 + 16x_3 + 8x_4 + 6x_5 \geq 100 \\
& 16x_1 + 24x_2 + 27x_3 + 16x_4 + 6x_5 \geq 180 \\
& 96x_1 + 182x_2 + 114x_3 + 208x_4 + 236x_5 \geq 1796 \\
& x_1, x_2, x_3, x_4, x_5 \in \mathbb{Z}_+
\end{align*}
\]","import gurobipy as gp
from gurobipy import GRB

# Create the model
m = gp.Model(""Custom_Optimization_Model"")

# Decision variables: x1, x2, x3, x4, x5 (all integer and non-negative)
x1 = m.addVar(vtype=GRB.INTEGER, lb=0, name=""x1"")
x2 = m.addVar(vtype=GRB.INTEGER, lb=0, name=""x2"")
x3 = m.addVar(vtype=GRB.INTEGER, lb=0, name=""x3"")
x4 = m.addVar(vtype=GRB.INTEGER, lb=0, name=""x4"")
x5 = m.addVar(vtype=GRB.INTEGER, lb=0, name=""x5"")

# Objective function: Minimize 9x1 + 9x2 + 2x3 + 9x4 + 5x5
m.setObjective(9 * x1 + 9 * x2 + 2 * x3 + 9 * x4 + 5 * x5, GRB.MINIMIZE)

# Constraints
m.addConstr(3 * x1 + 17 * x2 + 16 * x3 + 8 * x4 + 6 * x5 >= 100, name=""c1"")
m.addConstr(16 * x1 + 24 * x2 + 27 * x3 + 16 * x4 + 6 * x5 >= 180, name=""c2"")
m.addConstr(96 * x1 + 182 * x2 + 114 * x3 + 208 * x4 + 236 * x5 >= 1796, name=""c3"")

# Solve the model
m.optimize()",32,32,1
"Imagine you are tasked with planning a nutritious and cost-effective meal plan for the day, ensuring that you meet specific nutritional targets. You have a selection of six different food items, each with unique nutritional values and costs. Your goal is to meet the daily dietary requirements for protein, carbohydrates, and calories without overspending.

Here's a breakdown of the food items available:

- Food_1: Costs $4, provides 17 grams of protein, 8 grams of carbohydrates, and 237 calories.
- Food_2: Costs $2, provides 4 grams of protein, 24 grams of carbohydrates, and 213 calories.
- Food_3: Costs $6, provides 7 grams of protein, 27 grams of carbohydrates, and 133 calories.
- Food_4: Costs $2, provides 14 grams of protein, 16 grams of carbohydrates, and 118 calories.
- Food_5: Costs $6, provides 13 grams of protein, 1 gram of carbohydrates, and 136 calories.
- Food_6: Costs $8, provides 1 gram of protein, 13 grams of carbohydrates, and 225 calories.

The dietary requirements you need to meet are at least 76 grams of protein, 173 grams of carbohydrates, and 1751 calories for the day.

What is the minimum cost required to meet these nutritional needs using any combination of these food items?","\[
\begin{align*}
\text{Minimize} \quad & 4x_1 + 2x_2 + 6x_3 + 2x_4 + 6x_5 + 8x_6 \\
\text{subject to} \quad
& 17x_1 + 4x_2 + 7x_3 + 14x_4 + 13x_5 + 1x_6 \geq 76 \\
& 8x_1 + 24x_2 + 27x_3 + 16x_4 + 1x_5 + 13x_6 \geq 173 \\
& 237x_1 + 213x_2 + 133x_3 + 118x_4 + 136x_5 + 225x_6 \geq 1751 \\
& x_1, x_2, x_3, x_4, x_5, x_6 \in \mathbb{Z}_+ \\
\end{align*}
\]","import gurobipy as gp
from gurobipy import GRB

# Create the model
m = gp.Model(""Custom_MIP_Example"")

# Decision variables: x1, x2, x3, x4, x5, x6 (all integer, non-negative)
x1 = m.addVar(vtype=GRB.INTEGER, lb=0, name=""x1"")
x2 = m.addVar(vtype=GRB.INTEGER, lb=0, name=""x2"")
x3 = m.addVar(vtype=GRB.INTEGER, lb=0, name=""x3"")
x4 = m.addVar(vtype=GRB.INTEGER, lb=0, name=""x4"")
x5 = m.addVar(vtype=GRB.INTEGER, lb=0, name=""x5"")
x6 = m.addVar(vtype=GRB.INTEGER, lb=0, name=""x6"")

# Objective function: Minimize 4x1 + 2x2 + 6x3 + 2x4 + 6x5 + 8x6
m.setObjective(4*x1 + 2*x2 + 6*x3 + 2*x4 + 6*x5 + 8*x6, GRB.MINIMIZE)

# Constraints
m.addConstr(17*x1 + 4*x2 + 7*x3 + 14*x4 + 13*x5 + 1*x6 >= 76, name=""c1"")
m.addConstr(8*x1 + 24*x2 + 27*x3 + 16*x4 + 1*x5 + 13*x6 >= 173, name=""c2"")
m.addConstr(237*x1 + 213*x2 + 133*x3 + 118*x4 + 136*x5 + 225*x6 >= 1751, name=""c3"")

# Solve the model
m.optimize()",22,22,1
"Let's say you're on a mission to create the perfect meal plan for yourself. You're focused on getting the right balance of nutrients without digging too deep into your pockets. You have six different food options to consider: Chicken, Oats, Tofu, Rice, Beef, and Salmon. Each of these foods provides a certain amount of protein, carbohydrates, and calories, and they all come with their own distinct prices.

Here's a detailed breakdown of the nutritional content and cost of each food item:

- Chicken: Delivers 14 grams of protein, a single gram of carbohydrates, and 164 calories at a cost of $6.
- Oats: Gives you 11 grams of protein, 6 grams of carbohydrates, and 210 calories for just $2.
- Tofu: Offers 8 grams of protein, 12 grams of carbohydrates, and 98 calories at a cost of $9.
- Rice: Provides 1 gram of protein, a generous 17 grams of carbohydrates, and 92 calories for $3.
- Beef: Comes packed with 16 grams of protein, 11 grams of carbohydrates, and 211 calories, priced at $7.
- Salmon: Brings a hefty 19 grams of protein, 13 grams of carbohydrates, and 211 calories but costs $9.

You want to make sure your meal plan meets the following nutritional targets: at least 70 grams of protein, 117 grams of carbohydrates, and 1837 calories. Considering these six foods, what is the least amount of money you need to spend to meet these dietary needs?
Remember, your response should only contain the optimal value of the cost to meet the requirements.","\[
\begin{align*}
\min\ & 6x_1 + 2x_2 + 9x_3 + 3x_4 + 7x_5 + 9x_6 \\
\text{s.t.}\quad
& 14x_1 + 11x_2 + 8x_3 + 1x_4 + 16x_5 + 19x_6 \geq 70 \\
& 1x_1 + 6x_2 + 12x_3 + 17x_4 + 11x_5 + 13x_6 \geq 117 \\
& 164x_1 + 210x_2 + 98x_3 + 92x_4 + 211x_5 + 211x_6 \geq 1837 \\
& x_1, x_2, x_3, x_4, x_5, x_6 \geq 0
\end{align*}
\]","import gurobipy as gp
from gurobipy import GRB

# Create the model
m = gp.Model(""LP_Example"")

# Decision variables (continuous, non-negative)
x1 = m.addVar(lb=0, name=""x1"")
x2 = m.addVar(lb=0, name=""x2"")
x3 = m.addVar(lb=0, name=""x3"")
x4 = m.addVar(lb=0, name=""x4"")
x5 = m.addVar(lb=0, name=""x5"")
x6 = m.addVar(lb=0, name=""x6"")

# Objective function: Minimize 6x1 + 2x2 + 9x3 + 3x4 + 7x5 + 9x6
m.setObjective(6*x1 + 2*x2 + 9*x3 + 3*x4 + 7*x5 + 9*x6, GRB.MINIMIZE)

# Constraints
m.addConstr(14*x1 + 11*x2 + 8*x3 + 1*x4 + 16*x5 + 19*x6 >= 70, name=""c1"")
m.addConstr(1*x1 + 6*x2 + 12*x3 + 17*x4 + 11*x5 + 13*x6 >= 117, name=""c2"")
m.addConstr(164*x1 + 210*x2 + 98*x3 + 92*x4 + 211*x5 + 211*x6 >= 1837, name=""c3"")

# Solve the model
m.optimize()",27.02915838303512,29,0
"Imagine you're a college student aiming to balance your diet and budget. You have identified nine different food items from your local grocery store that you can include in your menu: Chicken, Rice, Apples, Steak, Lentils, Fish, Tofu, Cheese, and Bread. Each of these foods provides varying amounts of protein, carbohydrates, and calories, and each comes with its own price.

Here is the detailed nutritional content and cost for each food item:

- Chicken: Gives you 15 grams of protein, 18 grams of carbohydrates, and 300 calories for $4.
- Rice: Offers 1 gram of protein, 25 grams of carbohydrates, and 267 calories for $2.
- Apples: Provide 1 gram of protein, 21 grams of carbohydrates, and 266 calories for $5.
- Steak: Contains 6 grams of protein, 3 grams of carbohydrates, and 119 calories for a higher cost of $10.
- Lentils: These give 3 grams of protein, 7 grams of carbohydrates, and 166 calories for just $2.
- Fish: Delivers 17 grams of protein, 13 grams of carbohydrates, and 129 calories for $8.
- Tofu: Offers a substantial 18 grams of protein, 27 grams of carbohydrates, and 216 calories for $10.
- Cheese: Gives 12 grams of protein, 17 grams of carbohydrates, and 76 calories for $9.
- Bread: Provides 2 grams of protein, a massive 30 grams of carbohydrates, and 258 calories for $4.

Your daily dietary goal is to consume at least 90 grams of protein, 105 grams of carbohydrates, and 1805 calories. Your challenge is to figure out how to meet these nutritional requirements from the food options mentioned above while spending the least amount of money. So, what is the least amount of money you need to spend to meet your daily dietary requirements? Please note that the response should be a single answer, asking for only the optimal value.","\[
\begin{align*}
\min\ & 4x_1 + 2x_2 + 5x_3 + 10x_4 + 2x_5 + 8x_6 + 10x_7 + 9x_8 + 4x_9 \\
\text{s.t.}\quad
& 15x_1 + 1x_2 + 1x_3 + 6x_4 + 3x_5 + 17x_6 + 18x_7 + 12x_8 + 2x_9 \geq 90 \\
& 18x_1 + 25x_2 + 21x_3 + 3x_4 + 7x_5 + 13x_6 + 27x_7 + 17x_8 + 30x_9 \geq 105 \\
& 300x_1 + 267x_2 + 266x_3 + 119x_4 + 166x_5 + 129x_6 + 216x_7 + 76x_8 + 258x_9 \geq 1805 \\
& x_1, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9 \geq 0
\end{align*}
\]","import gurobipy as gp
from gurobipy import GRB

# Create the model
m = gp.Model(""Custom_Optimization_Model"")

# Decision variables (continuous, non-negative)
x = m.addVars(9, lb=0, name=""x"")

# Objective function
m.setObjective(
    4 * x[0] + 2 * x[1] + 5 * x[2] + 10 * x[3] + 2 * x[4] + 8 * x[5] + 10 * x[6] + 9 * x[7] + 4 * x[8],
    GRB.MINIMIZE
)

# Constraints
m.addConstr(
    15 * x[0] + 1 * x[1] + 1 * x[2] + 6 * x[3] + 3 * x[4] + 17 * x[5] + 18 * x[6] + 12 * x[7] + 2 * x[8] >= 90,
    name=""constraint_1""
)
m.addConstr(
    18 * x[0] + 25 * x[1] + 21 * x[2] + 3 * x[3] + 7 * x[4] + 13 * x[5] + 27 * x[6] + 17 * x[7] + 30 * x[8] >= 105,
    name=""constraint_2""
)
m.addConstr(
    300 * x[0] + 267 * x[1] + 266 * x[2] + 119 * x[3] + 166 * x[4] + 129 * x[5] + 216 * x[6] + 76 * x[7] + 258 * x[8] >= 1805,
    name=""constraint_3""
)

# Solve the model
m.optimize()",24.035087719298247,26,0
"Imagine you're meticulously planning your weekly meal prep and want to ensure that your diet is nutritionally balanced while also being cost-effective. You have a choice between five different food items, each with its own nutritional profile and cost. Your challenge is to choose the right combination of these foods to meet your nutritional needs without overspending.

Here's what each food item offers along with its cost:

- Food_1: Provides 10 grams of protein, 22 grams of carbohydrates, and 80 calories for $2.
- Food_2: Offers 3 grams of protein, 4 grams of carbohydrates, and 189 calories for $8.
- Food_3: Contains 17 grams of protein, 10 grams of carbohydrates, and 153 calories for $4.
- Food_4: Delivers 6 grams of protein, 13 grams of carbohydrates, and 232 calories for $1.
- Food_5: Packs 20 grams of protein, 5 grams of carbohydrates, and 204 calories for $8.

Your dietary goals are to consume at least 74 grams of protein, 102 grams of carbohydrates, and 1564 calories in total. What is the minimum cost required to meet these nutritional targets using any combination of the available food items?","\[
\begin{align*}
\min\ & 2x_1 + 8x_2 + 4x_3 + 1x_4 + 8x_5 \\
\text{s.t.}\quad
& 10x_1 + 3x_2 + 17x_3 + 6x_4 + 20x_5 \geq 74 \\
& 22x_1 + 4x_2 + 10x_3 + 13x_4 + 5x_5 \geq 102 \\
& 80x_1 + 189x_2 + 153x_3 + 232x_4 + 204x_5 \geq 1564 \\
& x_1, x_2, x_3, x_4, x_5 \in \mathbb{Z}_+
\end{align*}
\]","import gurobipy as gp
from gurobipy import GRB

# Create the model
m = gp.Model(""Custom_Optimization_Model"")

# Decision variables: x1, x2, x3, x4, x5 (all integer and non-negative)
x1 = m.addVar(vtype=GRB.INTEGER, lb=0, name=""x1"")
x2 = m.addVar(vtype=GRB.INTEGER, lb=0, name=""x2"")
x3 = m.addVar(vtype=GRB.INTEGER, lb=0, name=""x3"")
x4 = m.addVar(vtype=GRB.INTEGER, lb=0, name=""x4"")
x5 = m.addVar(vtype=GRB.INTEGER, lb=0, name=""x5"")

# Objective function: Minimize 2x1 + 8x2 + 4x3 + 1x4 + 8x5
m.setObjective(2 * x1 + 8 * x2 + 4 * x3 + 1 * x4 + 8 * x5, GRB.MINIMIZE)

# Constraints
m.addConstr(10 * x1 + 3 * x2 + 17 * x3 + 6 * x4 + 20 * x5 >= 74, name=""c1"")
m.addConstr(22 * x1 + 4 * x2 + 10 * x3 + 13 * x4 + 5 * x5 >= 102, name=""c2"")
m.addConstr(80 * x1 + 189 * x2 + 153 * x3 + 232 * x4 + 204 * x5 >= 1564, name=""c3"")

# Solve the model
m.optimize()",13,13,1
"Imagine you're a nutrition enthusiast, planning your daily meals while aiming to meet all your dietary needs without breaking the bank. You're considering five different types of food to include in your meal plan: Chicken, Rice, Apples, Cheese, and Tofu. Each of these foods contributes different amounts of protein, carbohydrates, and calories, and comes with its own price.

Here's the nutritional content and cost for each food:

- Chicken: Provides 14 grams of protein, 28 grams of carbohydrates, and 184 calories for $5.
- Rice: Offers 10 grams of protein, 27 grams of carbohydrates, and 298 calories for just $1.
- Apples: Come with 4 grams of protein, 13 grams of carbohydrates, and 162 calories for $5.
- Cheese: Is a protein powerhouse with 19 grams, contains only 5 grams of carbohydrates and provides 81 calories for $9.
- Tofu: Balances 10 grams of protein, 8 grams of carbohydrates, and 147 calories for $9.

Your goal is to consume at least 97 grams of protein, 140 grams of carbohydrates, and 2304 calories from your daily meals. You aim to achieve all these nutritional targets with the cheapest possible combination of these five food options. 

What is the minimum cost you need to spend to meet all your dietary requirements? Please note, your response should be a single value, indicating the the optimal and minimal cost.","\[
\begin{align*}
\min\ & 5x_1 + 1x_2 + 5x_3 + 9x_4 + 9x_5 \\
\text{s.t.}\quad
& 14x_1 + 10x_2 + 4x_3 + 19x_4 + 10x_5 \geq 97 \quad \text{(protein)} \\
& 28x_1 + 27x_2 + 13x_3 + 5x_4 + 8x_5 \geq 140 \quad \text{(carbohydrates)} \\
& 184x_1 + 298x_2 + 162x_3 + 81x_4 + 147x_5 \geq 2304 \quad \text{(calories)} \\
& x_1, x_2, x_3, x_4, x_5 \geq 0 \quad \text{(continuous)}
\end{align*}
\]","import gurobipy as gp
from gurobipy import GRB

# Create the model
m = gp.Model(""Diet_Optimization"")

# Decision variables (continuous, non-negative)
x1 = m.addVar(lb=0, name=""x1"")
x2 = m.addVar(lb=0, name=""x2"")
x3 = m.addVar(lb=0, name=""x3"")
x4 = m.addVar(lb=0, name=""x4"")
x5 = m.addVar(lb=0, name=""x5"")

# Objective function: Minimize 5x1 + 1x2 + 5x3 + 9x4 + 9x5
m.setObjective(5 * x1 + 1 * x2 + 5 * x3 + 9 * x4 + 9 * x5, GRB.MINIMIZE)

# Constraints
m.addConstr(14 * x1 + 10 * x2 + 4 * x3 + 19 * x4 + 10 * x5 >= 97, name=""protein"")
m.addConstr(28 * x1 + 27 * x2 + 13 * x3 + 5 * x4 + 8 * x5 >= 140, name=""carbohydrates"")
m.addConstr(184 * x1 + 298 * x2 + 162 * x3 + 81 * x4 + 147 * x5 >= 2304, name=""calories"")

# Solve the model
m.optimize()",9.7,10,0
"Imagine you're a college student living off-campus with a tight budget, but you're committed to maintaining a healthy diet. You have identified a set of nine different food items available in your local supermarket. Each of these items provides specific amounts of protein, carbohydrates, and calories and has its own price. 

Here is the breakdown of what each food item provides along with its cost:

1. Chicken (Cost: $10): Gives you 7 grams of protein, 17 grams of carbohydrates, and 95 calories.
2. Tofu (Cost: $2): Provides 12 grams of protein, 12 grams of carbohydrates, and 233 calories.
3. Brown Rice (Cost: $7): Contains 14 grams of protein, 27 grams of carbohydrates, and 134 calories.
4. Fish (Cost: $8): Offers 9 grams of protein, 6 grams of carbohydrates, and 109 calories.
5. Lentils (Cost: $4): Deliver 11 grams of protein, 19 grams of carbohydrates, and 202 calories.
6. Quinoa (Cost: $9): Packs 10 grams of protein, 23 grams of carbohydrates, and 148 calories.
7. Eggs (Cost: $2): Provides 10 grams of protein, 6 grams of carbohydrates, and 184 calories.
8. Beef (Cost: $9): Contains 9 grams of protein, 16 grams of carbohydrates, and 136 calories.
9. Beans (Cost: $9): Offers 8 grams of protein, 25 grams of carbohydrates, and 229 calories.

Your daily dietary requirements are that you need at least 71 grams of protein, 107 grams of carbohydrates, and 1623 calories. Your challenge is to meet these nutritional targets by choosing from these nine food items and spending as little money as possible. How much is the minimum cost you need to spend to meet your nutritional needs? Remember, your response should only provide the optimal value.","\[
\begin{align*}
\min\ & 10x_1 + 2x_2 + 7x_3 + 8x_4 + 4x_5 + 9x_6 + 2x_7 + 9x_8 + 9x_9 \\
\text{s.t. } 
& 7x_1 + 12x_2 + 14x_3 + 9x_4 + 11x_5 + 10x_6 + 10x_7 + 9x_8 + 8x_9 \geq 71 \\
& 17x_1 + 12x_2 + 27x_3 + 6x_4 + 19x_5 + 23x_6 + 6x_7 + 16x_8 + 25x_9 \geq 107 \\
& 95x_1 + 233x_2 + 134x_3 + 109x_4 + 202x_5 + 148x_6 + 184x_7 + 136x_8 + 229x_9 \geq 1623 \\
& x_1, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9 \geq 0
\end{align*}
\]","import gurobipy as gp
from gurobipy import GRB

# Create the model
m = gp.Model(""LP_Example"")

# Decision variables (continuous, non-negative)
x = m.addVars(range(1, 10), lb=0, name=""x"")

# Objective function
m.setObjective(
    10 * x[1] + 2 * x[2] + 7 * x[3] + 8 * x[4] + 4 * x[5] + 9 * x[6] + 2 * x[7] + 9 * x[8] + 9 * x[9],
    GRB.MINIMIZE
)

# Constraints
m.addConstr(
    7 * x[1] + 12 * x[2] + 14 * x[3] + 9 * x[4] + 11 * x[5] + 10 * x[6] + 10 * x[7] + 9 * x[8] + 8 * x[9] >= 71,
    name=""c1""
)
m.addConstr(
    17 * x[1] + 12 * x[2] + 27 * x[3] + 6 * x[4] + 19 * x[5] + 23 * x[6] + 6 * x[7] + 16 * x[8] + 25 * x[9] >= 107,
    name=""c2""
)
m.addConstr(
    95 * x[1] + 233 * x[2] + 134 * x[3] + 109 * x[4] + 202 * x[5] + 148 * x[6] + 184 * x[7] + 136 * x[8] + 229 * x[9] >= 1623,
    name=""c3""
)

# Solve the model
m.optimize()",17.833333333333332,18,0
"Imagine you are a fitness enthusiast who takes your daily nutritional needs very seriously. Your dietitian has provided you with specific benchmarks to achieve every day: 91 grams of protein, 136 grams of carbohydrates, and 1563 calories. 

You have a variety of food items available to you, each with its own cost and nutritional content. Let's take a look at what each of these food items offers:

- Chicken breast: For $7, it provides 12g of protein, 5g of carbs, and 231 calories.
- Tofu: Also $7, it delivers 10g of protein, 1g of carbs, and 210 calories.
- Spinach: This cost-effective option at just $1 provides 11g of protein, 30g of carbs, and 295 calories.
- Beef steak: Available at $9, it contributes 8g of protein, 26g of carbs, and 211 calories.
- Eggs: For $6, eggs add 16g of protein, 9g of carbs, and 232 calories to your daily intake.
- Brown rice: This $7 meal component provides 4g of protein, 25g of carbs, and 146 calories.
- Bananas: At just $2, they contribute 4g of protein, 16g of carbs, and 255 calories.
- Quinoa: For $6, quinoa provides 4g of protein, 20g of carbs, and 205 calories.

Now here is your challenge: Using these food options, how can you meet your daily dietary requirements while keeping the cost as low as possible? What is the minimum cost you need to spend to meet your daily nutritional needs? Keep in mind that your response should be a single answer question, asking for only the optimal value, under the scenario of food selection.","\[
\begin{align*}
\min\ & 7x_1 + 7x_2 + 1x_3 + 9x_4 + 6x_5 + 7x_6 + 2x_7 + 6x_8 \\
\text{s.t.}\quad
& 12x_1 + 10x_2 + 11x_3 + 8x_4 + 16x_5 + 4x_6 + 4x_7 + 4x_8 \geq 91 \\
& 5x_1 + 1x_2 + 30x_3 + 26x_4 + 9x_5 + 25x_6 + 16x_7 + 20x_8 \geq 136 \\
& 231x_1 + 210x_2 + 295x_3 + 211x_4 + 232x_5 + 146x_6 + 255x_7 + 205x_8 \geq 1563 \\
& x_1, x_2, x_3, x_4, x_5, x_6, x_7, x_8 \in \mathbb{Z}_+
\end{align*}
\]","import gurobipy as gp
from gurobipy import GRB

# Create the model
m = gp.Model(""Custom_Optimization_Model"")

# Decision variables: x1,...,x8 are non-negative integers
x = m.addVars(8, vtype=GRB.INTEGER, lb=0, name=""x"")

# Objective function: Minimize 7x1 + 7x2 + 1x3 + 9x4 + 6x5 + 7x6 + 2x7 + 6x8
coeffs = [7, 7, 1, 9, 6, 7, 2, 6]
m.setObjective(gp.quicksum(coeffs[i] * x[i] for i in range(8)), GRB.MINIMIZE)

# Constraint 1: 12x1 + 10x2 + 11x3 + 8x4 + 16x5 + 4x6 + 4x7 + 4x8 >= 91
m.addConstr(12*x[0] + 10*x[1] + 11*x[2] + 8*x[3] + 16*x[4] + 4*x[5] + 4*x[6] + 4*x[7] >= 91, name=""c1"")

# Constraint 2: 5x1 + 1x2 + 30x3 + 26x4 + 9x5 + 25x6 + 16x7 + 20x8 >= 136
m.addConstr(5*x[0] + 1*x[1] + 30*x[2] + 26*x[3] + 9*x[4] + 25*x[5] + 16*x[6] + 20*x[7] >= 136, name=""c2"")

# Constraint 3: 231x1 + 210x2 + 295x3 + 211x4 + 232x5 + 146x6 + 255x7 + 205x8 >= 1563
m.addConstr(231*x[0] + 210*x[1] + 295*x[2] + 211*x[3] + 232*x[4] + 146*x[5] + 255*x[6] + 205*x[7] >= 1563, name=""c3"")

# Solve the model
m.optimize()",9,9,1
